Embarked,Fare,Parch,PassengerId,Pclass,Sex,SibSp,Survived,EstimatedAge,FamSize
0,7.25,0,1,3,0,1,0.0,22.0,1
1,71.2833,0,2,1,1,1,1.0,38.0,1
0,7.925,0,3,3,1,0,1.0,26.0,0
0,53.1,0,4,1,1,1,1.0,35.0,1
0,8.05,0,5,3,0,0,0.0,35.0,0
2,8.4583,0,6,3,0,0,0.0,25.0,0
0,51.8625,0,7,1,0,0,0.0,54.0,0
0,21.075,1,8,3,0,3,0.0,2.0,4
0,11.1333,2,9,3,1,0,1.0,27.0,2
1,30.0708,0,10,2,1,1,1.0,14.0,1
0,16.7,1,11,3,1,1,1.0,4.0,2
0,26.55,0,12,1,1,0,1.0,58.0,0
0,8.05,0,13,3,0,0,0.0,20.0,0
0,31.275,5,14,3,0,1,0.0,39.0,6
0,7.8542,0,15,3,1,0,0.0,14.0,0
0,16.0,0,16,2,1,0,1.0,55.0,0
2,29.125,1,17,3,0,4,0.0,2.0,5
0,13.0,0,18,2,0,0,1.0,29.5,0
0,18.0,0,19,3,1,1,0.0,31.0,1
1,7.225,0,20,3,1,0,1.0,22.0,0
0,26.0,0,21,2,0,0,0.0,35.0,0
0,13.0,0,22,2,0,0,1.0,34.0,0
2,8.0292,0,23,3,1,0,1.0,15.0,0
0,35.5,0,24,1,0,0,1.0,28.0,0
0,21.075,1,25,3,1,3,0.0,8.0,4
0,31.3875,5,26,3,1,1,1.0,38.0,6
1,7.225,0,27,3,0,0,0.0,25.0,0
0,263.0,2,28,1,0,3,0.0,19.0,5
2,7.8792,0,29,3,1,0,1.0,22.0,0
0,7.8958,0,30,3,0,0,0.0,25.0,0
1,27.7208,0,31,1,0,0,0.0,40.0,0
1,146.5208,0,32,1,1,1,1.0,36.0,1
2,7.75,0,33,3,1,0,1.0,22.0,0
0,10.5,0,34,2,0,0,0.0,66.0,0
1,82.1708,0,35,1,0,1,0.0,28.0,1
0,52.0,0,36,1,0,1,0.0,42.0,1
1,7.2292,0,37,3,0,0,1.0,25.0,0
0,8.05,0,38,3,0,0,0.0,21.0,0
0,18.0,0,39,3,1,2,0.0,18.0,2
1,11.2417,0,40,3,1,1,1.0,14.0,1
0,9.475,0,41,3,1,1,0.0,40.0,1
0,21.0,0,42,2,1,1,0.0,27.0,1
